[-3.03506,-2.45335]
[-3.03163,-2.45009]
[-3.0282,-2.44683]
[-3.02479,-2.44357]
[-3.02138,-2.44033]
[-3.01798,-2.43709]
[-3.01458,-2.43385]
[-3.01119,-2.43062]
[-3.00781,-2.4274]
[-3.00443,-2.42418]
[-3.00106,-2.42097]
[-2.9977,-2.41777]
[-2.99434,-2.41457]
[-2.99099,-2.41138]
[-2.98764,-2.40819]
[-2.98431,-2.40501]
[-2.98097,-2.40183]
[-2.97765,-2.39866]
[-2.97433,-2.3955]
[-2.97102,-2.39234]
[-2.96771,-2.38919]
[-2.96441,-2.38604]
[-2.96112,-2.3829]
[-2.95783,-2.37977]
[-2.95455,-2.37664]
[-2.95127,-2.37352]
[-2.948,-2.3704]
[-2.94474,-2.36729]
[-2.94149,-2.36418]
[-2.93823,-2.36108]
[-2.93499,-2.35798]
[-2.93175,-2.35489]
[-2.92852,-2.35181]
[-2.92529,-2.34873]
[-2.92207,-2.34566]
[-2.91886,-2.34259]
[-2.91565,-2.33953]
[-2.91245,-2.33647]
[-2.90925,-2.33342]
[-2.90606,-2.33037]
[-2.90287,-2.32733]
[-2.8997,-2.3243]
[-2.89652,-2.32127]
[-2.89336,-2.31824]
[-2.89019,-2.31522]
[-2.88704,-2.31221]
[-2.88389,-2.3092]
[-2.88074,-2.3062]
[-2.8776,-2.3032]
[-2.87447,-2.30021]
[-2.87134,-2.29722]
[-2.86822,-2.29424]
[-2.86511,-2.29126]
[-2.862,-2.28829]
[-2.85889,-2.28532]
[-2.85579,-2.28236]
[-2.8527,-2.2794]
[-2.84961,-2.27645]
[-2.84653,-2.2735]
[-2.84345,-2.27056]
[-2.84038,-2.26762]
[-2.83731,-2.26469]
[-2.83425,-2.26176]
[-2.8312,-2.25884]
[-2.82815,-2.25593]
[-2.8251,-2.25302]
[-2.82206,-2.25011]
[-2.81903,-2.24721]
[-2.816,-2.24431]
[-2.81298,-2.24142]
[-2.80996,-2.23853]
[-2.80695,-2.23565]
[-2.80394,-2.23277]
[-2.80094,-2.2299]
[-2.79794,-2.22703]
[-2.79495,-2.22417]
[-2.79197,-2.22131]
[-2.78898,-2.21846]
[-2.78601,-2.21561]
[-2.78304,-2.21276]
[-2.78007,-2.20992]
[-2.77711,-2.20709]
