[-6.2199,-5.65529]
[-6.22244,-5.65791]
[-6.22499,-5.66053]
[-6.22754,-5.66315]
[-6.23009,-5.66577]
[-6.23264,-5.6684]
[-6.23519,-5.67102]
[-6.23775,-5.67365]
[-6.2403,-5.67628]
[-6.24286,-5.67891]
[-6.24541,-5.68154]
[-6.24797,-5.68417]
[-6.25053,-5.68681]
[-6.25309,-5.68944]
[-6.25566,-5.69208]
[-6.25822,-5.69472]
[-6.26078,-5.69736]
[-6.26335,-5.7]
[-6.26592,-5.70264]
[-6.26849,-5.70529]
[-6.27106,-5.70793]
[-6.27363,-5.71058]
[-6.2762,-5.71323]
[-6.27877,-5.71588]
[-6.28135,-5.71853]
[-6.28393,-5.72118]
[-6.2865,-5.72384]
[-6.28908,-5.72649]
[-6.29166,-5.72915]
[-6.29424,-5.73181]
[-6.29683,-5.73447]
[-6.29941,-5.73713]
[-6.302,-5.73979]
[-6.30458,-5.74246]
[-6.30717,-5.74512]
[-6.30976,-5.74779]
[-6.31235,-5.75046]
[-6.31494,-5.75313]
[-6.31754,-5.7558]
[-6.32013,-5.75847]
[-6.32273,-5.76114]
[-6.32532,-5.76382]
[-6.32792,-5.7665]
[-6.33052,-5.76917]
[-6.33312,-5.77185]
[-6.33572,-5.77453]
[-6.33833,-5.77722]
[-6.34093,-5.7799]
[-6.34354,-5.78259]
[-6.34614,-5.78527]
[-6.34875,-5.78796]
[-6.35136,-5.79065]
[-6.35397,-5.79334]
[-6.35659,-5.79603]
[-6.3592,-5.79873]
[-6.36182,-5.80142]
[-6.36443,-5.80412]
[-6.36705,-5.80682]
[-6.36967,-5.80952]
[-6.37229,-5.81222]
[-6.37491,-5.81492]
[-6.37753,-5.81763]
[-6.38016,-5.82033]
[-6.38278,-5.82304]
[-6.38541,-5.82575]
[-6.38804,-5.82846]
[-6.39067,-5.83117]
[-6.3933,-5.83388]
[-6.39593,-5.8366]
[-6.39856,-5.83931]
[-6.4012,-5.84203]
[-6.40383,-5.84475]
[-6.40647,-5.84747]
[-6.40911,-5.85019]
[-6.41175,-5.85291]
[-6.41439,-5.85564]
[-6.41704,-5.85836]
[-6.41968,-5.86109]
[-6.42232,-5.86382]
[-6.42497,-5.86655]
[-6.42762,-5.86928]
[-6.43027,-5.87201]
[-6.43292,-5.87475]
[-6.43557,-5.87748]
[-6.43822,-5.88022]
[-6.44088,-5.88296]
[-6.44353,-5.8857]
[-6.44619,-5.88844]
[-6.44885,-5.89119]
[-6.45151,-5.89393]
[-6.45417,-5.89668]
[-6.45683,-5.89943]
[-6.4595,-5.90217]
[-6.46216,-5.90493]
[-6.46483,-5.90768]
[-6.4675,-5.91043]
[-6.47017,-5.91319]
[-6.47284,-5.91594]
[-6.47551,-5.9187]
[-6.47818,-5.92146]
[-6.48086,-5.92422]
[-6.48353,-5.92699]
[-6.48621,-5.92975]
[-6.48889,-5.93252]
[-6.49157,-5.93528]
[-6.49425,-5.93805]
[-6.49693,-5.94082]
[-6.49962,-5.94359]
[-6.5023,-5.94637]
[-6.50499,-5.94914]
[-6.50768,-5.95192]
[-6.51037,-5.9547]
[-6.51306,-5.95747]
[-6.51575,-5.96026]
[-6.51844,-5.96304]
[-6.52114,-5.96582]
[-6.52384,-5.96861]
[-6.52653,-5.97139]
[-6.52923,-5.97418]
[-6.53193,-5.97697]
[-6.53463,-5.97976]
[-6.53734,-5.98256]
[-6.54004,-5.98535]
[-6.54275,-5.98815]
[-6.54545,-5.99094]
[-6.54816,-5.99374]
[-6.55087,-5.99654]
[-6.55358,-5.99934]
[-6.5563,-6.00215]
[-6.55901,-6.00495]
[-6.56173,-6.00776]
[-6.56444,-6.01057]
[-6.56716,-6.01338]
[-6.56988,-6.01619]
[-6.5726,-6.019]
[-6.57532,-6.02181]
[-6.57805,-6.02463]
[-6.58077,-6.02745]
[-6.5835,-6.03026]
[-6.58623,-6.03308]
[-6.58896,-6.03591]
[-6.59169,-6.03873]
[-6.59442,-6.04155]
[-6.59715,-6.04438]
[-6.59989,-6.04721]
[-6.60262,-6.05004]
[-6.60536,-6.05287]
[-6.6081,-6.0557]
[-6.61084,-6.05854]
[-6.61358,-6.06137]
[-6.61632,-6.06421]
[-6.61907,-6.06705]
[-6.62181,-6.06989]
[-6.62456,-6.07273]
[-6.62731,-6.07557]
[-6.63006,-6.07842]
[-6.63281,-6.08126]
[-6.63556,-6.08411]
[-6.63832,-6.08696]
[-6.64107,-6.08981]
[-6.64383,-6.09266]
[-6.64659,-6.09552]
[-6.64935,-6.09837]
[-6.65211,-6.10123]
[-6.65487,-6.10409]
[-6.65764,-6.10695]
[-6.6604,-6.10981]
[-6.66317,-6.11268]
[-6.66594,-6.11554]
[-6.6687,-6.11841]
[-6.67148,-6.12128]
[-6.67425,-6.12415]
[-6.67702,-6.12702]
[-6.6798,-6.12989]
[-6.68257,-6.13276]
[-6.68535,-6.13564]
[-6.68813,-6.13852]
[-6.69091,-6.1414]
[-6.69369,-6.14428]
[-6.69648,-6.14716]
[-6.69926,-6.15004]
[-6.70205,-6.15293]
[-6.70484,-6.15582]
[-6.70763,-6.15871]
[-6.71042,-6.1616]
[-6.71321,-6.16449]
[-6.716,-6.16738]
[-6.7188,-6.17028]
[-6.7216,-6.17317]
[-6.72439,-6.17607]
[-6.72719,-6.17897]
[-6.72999,-6.18187]
[-6.7328,-6.18478]
[-6.7356,-6.18768]
[-6.7384,-6.19059]
[-6.74121,-6.19349]
[-6.74402,-6.1964]
[-6.74683,-6.19932]
[-6.74964,-6.20223]
[-6.75245,-6.20514]
[-6.75526,-6.20806]
[-6.75808,-6.21098]
[-6.7609,-6.21389]
[-6.76371,-6.21682]
[-6.76653,-6.21974]
[-6.76935,-6.22266]
[-6.77218,-6.22559]
[-6.775,-6.22851]
[-6.77783,-6.23144]
[-6.78065,-6.23437]
[-6.78348,-6.23731]
[-6.78631,-6.24024]
[-6.78914,-6.24317]
[-6.79197,-6.24611]
[-6.79481,-6.24905]
[-6.79764,-6.25199]
[-6.80048,-6.25493]
[-6.80332,-6.25787]
[-6.80616,-6.26082]
[-6.809,-6.26377]
[-6.81184,-6.26671]
[-6.81469,-6.26966]
[-6.81753,-6.27262]
[-6.82038,-6.27557]
[-6.82323,-6.27852]
[-6.82608,-6.28148]
[-6.82893,-6.28444]
[-6.83178,-6.2874]
[-6.83463,-6.29036]
[-6.83749,-6.29332]
[-6.84035,-6.29629]
[-6.84321,-6.29925]
[-6.84607,-6.30222]
[-6.84893,-6.30519]
[-6.85179,-6.30816]
[-6.85466,-6.31113]
[-6.85752,-6.31411]
[-6.86039,-6.31708]
[-6.86326,-6.32006]
[-6.86613,-6.32304]
[-6.869,-6.32602]
[-6.87187,-6.329]
[-6.87475,-6.33199]
[-6.87763,-6.33497]
[-6.8805,-6.33796]
[-6.88338,-6.34095]
[-6.88626,-6.34394]
[-6.88915,-6.34694]
[-6.89203,-6.34993]
[-6.89492,-6.35293]
[-6.8978,-6.35592]
[-6.90069,-6.35892]
[-6.90358,-6.36192]
[-6.90647,-6.36493]
[-6.90936,-6.36793]
[-6.91226,-6.37094]
